Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Selection, [D], 100, Unsorted, -350
Selection, [D], 100, Sorted, -650
Bubble, [D], 100, Unsorted, -650
Bubble, [D], 100, Sorted, -750
Insertion, [D], 100, Unsorted, -750
Insertion, [D], 100, Sorted, -750
Merge, [D], 100, Unsorted, -750
Merge, [D], 100, Sorted, -750
Quick, [D], 100, Unsorted, -750
Quick, [D], 100, Sorted, -650
Heap, [D], 100, Unsorted, -650
Heap, [D], 100, Sorted, -750
Shell, [D], 100, Unsorted, 4750
Shell, [D], 100, Sorted, 2050
Radix, [D], 100, Unsorted, 45750
Radix, [D], 100, Sorted, 46050
Selection, [Ljava.lang.String;], 100, Unsorted, -450
Selection, [Ljava.lang.String;], 100, Sorted, -650
Bubble, [Ljava.lang.String;], 100, Unsorted, -750
Bubble, [Ljava.lang.String;], 100, Sorted, -750
Insertion, [Ljava.lang.String;], 100, Unsorted, -750
Insertion, [Ljava.lang.String;], 100, Sorted, -750
Merge, [Ljava.lang.String;], 100, Unsorted, -750
Merge, [Ljava.lang.String;], 100, Sorted, -750
Quick, [Ljava.lang.String;], 100, Unsorted, -750
Quick, [Ljava.lang.String;], 100, Sorted, -750
Heap, [Ljava.lang.String;], 100, Unsorted, -750
Heap, [Ljava.lang.String;], 100, Sorted, -750
Shell, [Ljava.lang.String;], 100, Unsorted, 80450
Shell, [Ljava.lang.String;], 100, Sorted, 44550
Radix, [Ljava.lang.String;], 100, Unsorted, 51450
Radix, [Ljava.lang.String;], 100, Sorted, 55150
Selection, [I], 1000, Unsorted, -350
Selection, [I], 1000, Sorted, -650
Bubble, [I], 1000, Unsorted, -650
Bubble, [I], 1000, Sorted, -650
Insertion, [I], 1000, Unsorted, -750
Insertion, [I], 1000, Sorted, -650
Merge, [I], 1000, Unsorted, -750
Merge, [I], 1000, Sorted, -750
Quick, [I], 1000, Unsorted, -750
Quick, [I], 1000, Sorted, -750
Heap, [I], 1000, Unsorted, -750
Heap, [I], 1000, Sorted, -750
Shell, [I], 1000, Unsorted, 57350
Shell, [I], 1000, Sorted, 13950
Radix, [I], 1000, Unsorted, 32950
Radix, [I], 1000, Sorted, 32850
Selection, [D], 1000, Unsorted, -450
Selection, [D], 1000, Sorted, -650
Bubble, [D], 1000, Unsorted, -650
Bubble, [D], 1000, Sorted, -750
Insertion, [D], 1000, Unsorted, -750
Insertion, [D], 1000, Sorted, -750
Merge, [D], 1000, Unsorted, -650
Merge, [D], 1000, Sorted, -750
Quick, [D], 1000, Unsorted, -750
Quick, [D], 1000, Sorted, -650
Heap, [D], 1000, Unsorted, -650
Heap, [D], 1000, Sorted, -650
Shell, [D], 1000, Unsorted, 92650
Shell, [D], 1000, Sorted, 21450
Radix, [D], 1000, Unsorted, 321750
Radix, [D], 1000, Sorted, 307050
Selection, [Ljava.lang.String;], 1000, Unsorted, -450
Selection, [Ljava.lang.String;], 1000, Sorted, -650
